"Internal ID","1) Are you proud of the work that you are doing within your organization?","2) Is it common for shifting priorities to cause rework or waste in your company?","3) How honest is the dialogue between employees and managers on your team?","4) How important are visible figures, metrics, and quantitative objectives to your startup?","5) Does leadership consistently work toward a common goal of improving the product or service? ","6) How significant are barriers between teams within your company?","7) How often does leadership make short term decisions that are contrary to the long term vision?","8) How stable is the number of employees at your company?","9) How likely are you to look for another job outside of your current company?","10) How happy are customers with your product or service?","11) What is your main role in the organization?","11) What is your main role in the organization? [other]","12) Are you a member of the leadership team?","13) How many people work at your company?","14) How many employees do you manage directly?"
"52698614",4,4,4,2,4,4,4,3,4,3,"Marketing / Sales",,"No","51-200","0"
"52698732",4,2,3,1,2,3,3,2,4,4,"Marketing / Sales",,"Yes","6-10","1-2"
"52701180",3,4,4,2,3,3,3,4,4,3,"Technology / Engineering",,"No","51-200","0"
"52704232",4,4,3,1,4,3,4,2,4,3,"Marketing / Sales",,"No","51-200","0"
"52704848",2,2,3,2,3,4,3,3,2,3,"Technology / Engineering",,"No","0-5","0"
"52705576",3,2,3,2,4,3,3,4,3,3,"Marketing / Sales",,"No","6-10","0"
"52710060",3,2,3,1,3,3,3,4,4,4,"Product / Design",,"No","51-200","1-2"
"52711354",3,1,2,3,3,2,2,1,3,3,"Delivery / Client Services","Management / Delivery / Client Services","Yes","21-50","11-20"
"52713812",4,2,3,3,2,2,2,3,2,2,"Technology / Engineering",,"No","51-200","0"
"52715522",3,2,4,3,4,4,4,4,3,3,"Technology / Engineering",,"Yes","0-5","0"
"52842040",3,3,1,2,2,2,3,2,2,3,"Technology / Engineering",,"No","51-200","0"
"52853864",3,2,2,2,4,2,2,2,3,2,"Technology / Engineering",,"No","21-50","0"
"52884864",4,1,4,1,4,4,4,4,4,4,"Product / Design",,"No","6-10","0"
"52902324",2,3,3,2,4,3,4,3,2,3,"Technology / Engineering",,"Yes","21-50","1-2"
"52907522",4,4,3,4,4,4,4,4,4,4,"Other, please specify...","Everything not related to engineering.","Yes","0-5","0"
"52917566",3,1,4,2,3,2,2,2,3,2,"Technology / Engineering",,"No","11-20","0"
"52917584",3,3,3,2,3,4,4,2,3,3,"Technology / Engineering",,"No","21-50","0"
"52921258",1,2,2,4,2,4,2,3,1,2,"Delivery / Client Services","Customer Success","Yes","6-10","1-2"
"52940308",4,4,4,1,4,4,3,2,4,4,"Other, please specify...","CEO","Yes","6-10","3-5"
"52947020",3,3,4,2,4,3,4,2,3,4,"Technology / Engineering",,"No","51-200","0"
"52954528",3,2,3,2,4,3,4,3,2,3,"Product / Design",,"No","51-200","0"
"53015208",3,4,4,1,4,3,4,3,4,3,"Delivery / Client Services",,"No","6-10","1-2"
"53048472",2,3,3,1,3,2,3,4,3,3,"Technology / Engineering",,"No","21-50","0"
"53123446",3,3,3,2,4,4,4,2,4,3,"Other, please specify...","Founder","Yes","6-10","6-10"
"53135470",3,1,3,2,4,4,2,1,3,2,"Technology / Engineering",,"Yes","6-10","1-2"
"53152750",4,3,3,2,4,4,3,3,4,3,"Product / Design",,"Yes","0-5","1-2"
"53226988",4,3,3,2,3,4,3,3,4,3,"Other, please specify...","Founder / CEO","Yes","0-5","1-2"
